ticker,trades,total_pnl,avg_pnl
MELI,3,871.933637,290.64454566666666
KLAC,6,484.726926,80.787821
COIN,6,231.979574,38.663262333333336
AMAT,8,203.301898,25.41273725
REGN,2,153.864866,76.932433
TSLA,5,151.13575,30.22715
VRTX,4,146.725122,36.6812805
AMD,4,135.777335,33.94433375
IDXX,3,121.363106,40.45436866666667
BIIB,7,105.828037,15.118291
CDNS,3,98.785396,32.928465333333335
MDB,2,98.713261,49.3566305
ABNB,7,97.772326,13.967475142857143
LRCX,5,69.186447,13.8372894
INTU,2,65.000036,32.500018
ISRG,2,63.502401,31.7512005
AAPL,4,58.984546,14.7461365
NET,6,55.60541,9.267568333333333
RBLX,6,54.83291,9.138818333333333
DXCM,7,53.986734999999996,7.712390714285713
ADBE,1,45.465997,45.465997
DDOG,4,36.110151,9.02753775
ILMN,3,32.236603,10.745534333333334
PYPL,5,30.27009,6.054018
FTNT,6,28.899261,4.8165435
NVDA,3,28.104762,9.368254
TXN,4,23.988977,5.99724425
UBER,4,23.674466000000002,5.918616500000001
INTC,3,22.525364,7.508454666666666
QCOM,2,21.747711,10.8738555
SNOW,1,21.339414,21.339414
PANW,2,21.328363,10.6641815
AMZN,2,18.789617,9.3948085
PAYC,3,17.940882000000002,5.980294000000001
NFLX,3,17.099947,5.699982333333334
NXPI,2,14.855641,7.4278205
MRNA,3,10.732206999999999,3.577402333333333
PCAR,3,9.03194,3.0106466666666667
ODFL,2,8.75891,4.379455
OKTA,1,7.19655,7.19655
AVGO,1,5.404693,5.404693
FAST,1,2.919719,2.919719
