ticker,ann_date,t_minus1,t_plus1,S_entry,S_exit,iv_near,iv_far,EP,move_pct,raw_pnl,net_pnl,pnl_pct_prem,stop_triggered,lam_earnings,ep_merton,ep_bs
DDOG,2023-08-08,2023-08-07,2023-08-09,106.3,87.95,0.406019,0.315698,0.09032,-17.2625,-7.987127,-8.004807,-452.7655,True,137.7399,19.410869,4.71093
TXN,2023-08-08,2023-08-07,2023-08-09,155.8539,153.7876,0.238054,0.184181,0.053873,-1.3258,7.123544,7.097623,273.811,False,0.486,3.353455,6.907026
UBER,2023-08-08,2023-08-07,2023-08-09,44.95,45.25,0.348461,0.248305,0.100155,0.6674,3.488692,3.481215,465.6471,False,0.486,0.967174,1.992063
AMAT,2023-08-08,2023-08-07,2023-08-09,146.7345,144.3927,0.362863,0.309881,0.052983,-1.596,10.51062,10.486216,429.6771,False,0.8254,3.256748,6.502879
RBLX,2023-08-08,2023-08-07,2023-08-09,37.6,32.44,1.834732,0.327357,1.507375,-13.7234,10.669867,10.663613,1705.188,True,86.9211,5.546011,1.666331
PYPL,2023-08-08,2023-08-07,2023-08-09,64.0774,62.7644,0.548458,0.22595,0.322508,-2.049,7.025635,7.014977,658.229,False,1.5907,1.523159,2.839738
NET,2023-08-08,2023-08-07,2023-08-09,67.79,66.86,0.574848,0.425361,0.149487,-1.3719,8.301454,8.290179,735.282,False,0.5172,1.4628,3.00427
LRCX,2023-08-08,2023-08-07,2023-08-09,68.7136,67.8768,0.433019,0.251073,0.181946,-1.2178,6.287309,6.27588,549.1456,False,0.486,1.478487,3.045203
MELI,2023-08-08,2023-08-07,2023-08-09,1358.8101,1347.65,0.586047,0.354661,0.231386,-0.8213,177.36337,177.137373,783.8034,False,0.486,29.23705,60.218804
KLAC,2023-08-08,2023-08-07,2023-08-09,493.737,488.141,0.368877,0.260089,0.108788,-1.1334,38.331457,38.249339,465.7834,False,0.486,10.62357,21.881095
NVDA,2023-08-08,2023-08-07,2023-08-09,45.3287,44.1879,0.726397,0.40783,0.318567,-2.5167,6.603537,6.595998,874.9091,False,2.5801,1.173889,2.008846
DXCM,2023-11-06,2023-11-03,2023-11-07,97.46,95.81,0.415866,0.24,0.175867,-1.693,8.071168,8.054959,496.927,False,0.9733,2.192296,4.319165
BIIB,2023-11-06,2023-11-03,2023-11-07,249.5,246.6,0.368438,0.201032,0.167406,-1.1623,19.272737,19.23124,463.4389,False,0.486,5.368406,11.057168
QCOM,2023-11-06,2023-11-03,2023-11-07,112.7746,113.086,0.251884,0.181557,0.070327,0.2761,6.695963,6.677207,355.9912,False,0.486,2.426532,4.997867
LRCX,2023-11-06,2023-11-03,2023-11-07,61.9565,62.5349,0.409558,0.2594,0.150158,0.9336,5.511793,5.501488,533.8866,False,0.486,1.333097,2.745745
