ticker,ann_date,EP,ep_merton,ep_bs
DDOG,2023-08-08,0.09032,19.410869,4.71093
TXN,2023-08-08,0.053873,3.353455,6.907026
UBER,2023-08-08,0.100155,0.967174,1.992063
AMAT,2023-08-08,0.052983,3.256748,6.502879
RBLX,2023-08-08,1.507375,5.546011,1.666331
PYPL,2023-08-08,0.322508,1.523159,2.839738
NET,2023-08-08,0.149487,1.4628,3.00427
LRCX,2023-08-08,0.181946,1.478487,3.045203
MELI,2023-08-08,0.231386,29.23705,60.218804
KLAC,2023-08-08,0.108788,10.62357,21.881095
NVDA,2023-08-08,0.318567,1.173889,2.008846
DXCM,2023-11-06,0.175867,2.192296,4.319165
BIIB,2023-11-06,0.167406,5.368406,11.057168
QCOM,2023-11-06,0.070327,2.426532,4.997867
LRCX,2023-11-06,0.150158,1.333097,2.745745
AMAT,2023-11-06,0.054664,2.940422,6.056313
INTU,2023-11-06,0.074133,11.437931,21.709981
DDOG,2023-11-06,1.524489,17.750217,3.635792
SNOW,2023-11-06,0.45153,5.270353,6.647153
MDB,2023-11-06,0.179752,10.969955,15.205711
KLAC,2023-11-06,0.146982,10.509029,21.645179
AAPL,2023-11-06,0.061941,3.791371,7.730843
TXN,2023-11-06,0.075676,3.463851,6.197644
NET,2023-11-06,0.103376,1.386103,2.854921
PCAR,2023-11-06,0.050262,1.677697,3.45551
NXPI,2023-11-06,0.110502,3.975204,7.689975
AMZN,2023-11-06,0.050777,3.003181,6.142379
TSLA,2023-11-06,0.225557,4.732804,9.748035
ADBE,2023-11-06,0.170194,12.128078,24.979893
UBER,2023-11-06,0.094592,1.056228,2.116151
RBLX,2023-11-06,0.516774,0.889592,1.546674
NFLX,2024-02-07,0.083861,1.196068,2.463511
FTNT,2024-02-07,0.096157,2.134311,2.990532
MDB,2024-02-07,0.135055,13.553636,19.646306
NET,2024-02-07,1.092749,2.169374,3.615849
PYPL,2024-02-07,0.804768,6.144815,2.808441
LRCX,2024-02-07,0.069899,1.954793,3.623994
AMZN,2024-02-07,0.073531,3.639542,7.496272
DDOG,2024-02-07,0.0547,2.779522,5.72491
ILMN,2024-02-07,0.288128,3.160264,6.24624
CDNS,2024-02-07,0.115829,9.794164,12.976107
BIIB,2024-02-07,0.350344,6.106536,10.882115
ABNB,2024-02-07,0.052494,4.404251,6.405181
AMAT,2024-02-07,0.116825,3.557174,7.326621
COIN,2024-02-07,0.130842,7.378337,5.30877
UBER,2024-02-07,0.767535,1.681553,3.123041
INTU,2024-02-07,0.067867,14.184211,27.708824
TXN,2024-02-07,0.064158,3.197113,6.585011
CDNS,2024-05-08,0.050715,6.111591,12.587889
ISRG,2024-05-08,0.152404,8.833996,17.223922
FTNT,2024-05-08,0.072866,1.278735,2.633778
ABNB,2024-05-08,0.350495,14.073316,7.082349
RBLX,2024-05-08,1.672732,10.961241,1.796624
IDXX,2024-05-08,0.191311,10.407177,21.435395
NET,2024-08-08,0.186666,1.672342,3.384513
PAYC,2024-08-08,0.105215,5.222726,6.658168
BIIB,2024-08-08,0.050721,4.480516,8.853712
ABNB,2024-08-08,0.071769,2.431597,5.008299
ILMN,2024-08-08,0.277154,5.048536,5.366826
IDXX,2024-08-08,0.09614,14.294896,20.699286
TSLA,2024-08-08,0.082055,5.218222,8.498287
REGN,2024-08-08,0.080678,40.930749,46.934377
DXCM,2024-11-06,0.120043,1.484649,3.057894
NET,2024-11-06,0.134708,7.636422,3.887071
ABNB,2024-11-06,0.538369,3.831559,6.107812
INTC,2024-11-06,0.242473,2.276361,1.03348
COIN,2024-11-06,0.886714,53.271131,8.595785
TSLA,2024-11-06,0.455387,40.00104,11.143144
VRTX,2024-11-06,0.133961,10.755747,22.153336
TXN,2024-11-06,0.087813,12.906262,8.59033
ODFL,2024-11-06,0.116494,24.92693,9.073548
MELI,2024-11-06,1.106212,180.614045,92.623618
PCAR,2024-11-06,0.067082,7.744902,4.499576
PYPL,2024-11-06,0.073284,2.304289,3.493469
AAPL,2024-11-06,0.073144,4.772124,9.829022
KLAC,2024-11-06,0.077475,15.261769,29.298445
FTNT,2024-11-06,0.353727,4.413913,3.453205
VRTX,2025-02-10,0.118794,11.105948,20.799
INTC,2025-02-10,0.177518,0.701657,0.846461
AMAT,2025-02-10,0.261094,3.825081,7.878422
BIIB,2025-02-10,0.184942,3.04138,6.264252
ABNB,2025-02-10,0.501979,2.904318,5.98195
DDOG,2025-02-10,0.215067,3.767702,6.321864
DXCM,2025-02-10,0.085864,1.895187,3.903469
COIN,2025-02-10,0.101384,5.906107,12.164658
AMD,2025-05-12,0.081578,6.826587,4.557592
VRTX,2025-05-12,0.152535,12.054846,18.834412
NVDA,2025-05-12,0.144437,8.589702,5.16238
COIN,2025-05-12,1.005401,34.38891,8.833326
NET,2025-05-12,0.109973,11.829067,5.864952
MRNA,2025-05-12,0.251534,1.299194,1.074695
AVGO,2025-05-12,0.060346,13.856384,9.152704
ILMN,2025-05-12,0.094849,5.99855,3.357479
