contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,ticker,mid_price,price_source,option_price,spread_pct
QQQ260520C00570000,2026-05-20 14:57:43+00:00,570.0,139.83,140.19,144.5,10.330002,7.9768357,3.0,1,2.4570351074218753,True,REGULAR,USD,call,2026-05-20,QQQ,142.345,mid,142.345,0.030278548596719256
QQQ260520C00575000,2026-05-20 14:57:43+00:00,575.0,134.81,135.17,139.5,10.169998,8.159498,3.0,4,2.376957182617187,True,REGULAR,USD,call,2026-05-20,QQQ,137.33499999999998,mid,137.33499999999998,0.031528743583209035
QQQ260520C00585000,2026-05-08 16:23:55+00:00,585.0,121.82,125.19,129.5,-1.7799988,-1.4401284,2.0,2,2.2182661730957025,True,REGULAR,USD,call,2026-05-20,QQQ,127.345,mid,127.345,0.03384506655149399
QQQ260520C00600000,2026-05-20 15:05:52+00:00,600.0,114.37,110.17,114.5,9.650002,9.215051,5.0,35,1.982421962890625,True,REGULAR,USD,call,2026-05-20,QQQ,112.33500000000001,mid,112.33500000000001,0.038545422174745166
QQQ260520C00610000,2026-05-20 18:58:57+00:00,610.0,100.9,100.16,104.5,-1.6500015,-1.6089727,4.0,4,1.8261727441406248,True,REGULAR,USD,call,2026-05-20,QQQ,102.33,mid,102.33,0.04241180494478651
QQQ260520C00615000,2026-05-20 18:13:38+00:00,615.0,97.22,95.17,99.5,8.410004,9.469659,31.0,36,1.7485364135742185,True,REGULAR,USD,call,2026-05-20,QQQ,97.33500000000001,mid,97.33500000000001,0.044485539631170676
QQQ260520C00620000,2026-05-20 16:06:38+00:00,620.0,91.28,90.16,94.5,8.599998,10.4015465,7.0,51,1.6709000830078127,True,REGULAR,USD,call,2026-05-20,QQQ,92.33,mid,92.33,0.04700530705079609
QQQ260520C00625000,2026-05-19 18:56:17+00:00,625.0,81.28,85.16,89.5,3.0999985,3.9652066,1.0,7,1.5937520312499998,True,REGULAR,USD,call,2026-05-20,QQQ,87.33,mid,87.33,0.04969655330356124
QQQ260520C00630000,2026-05-20 18:24:19+00:00,630.0,80.89,80.17,84.5,9.269997,12.943306,1.0,18,1.5161157006835935,True,REGULAR,USD,call,2026-05-20,QQQ,82.33500000000001,mid,82.33500000000001,0.05259002854193232
QQQ260520C00635000,2026-05-20 15:12:23+00:00,635.0,74.61,75.17,79.5,8.230003,12.398319,1.0,5,1.4384793701171876,True,REGULAR,USD,call,2026-05-20,QQQ,77.33500000000001,mid,77.33500000000001,0.05599017262558994
QQQ260520C00640000,2026-05-20 14:24:18+00:00,640.0,70.02,70.16,74.5,7.8099976,12.554248,7.0,10,1.361331318359375,True,REGULAR,USD,call,2026-05-20,QQQ,72.33,mid,72.33,0.06000276510438274
QQQ260520C00643000,2026-05-20 17:10:33+00:00,643.0,68.65,67.2,71.5,13.350002,24.141054,8.0,6,1.3144565527343748,True,REGULAR,USD,call,2026-05-20,QQQ,69.35,mid,69.35,0.062004325883201115
QQQ260520C00645000,2026-05-20 19:22:50+00:00,645.0,67.43,65.16,69.5,14.650002,27.75673,84.0,69,1.2836949877929684,True,REGULAR,USD,call,2026-05-20,QQQ,67.33,mid,67.33,0.0644586365661667
QQQ260520C00647000,2026-05-20 19:33:21+00:00,647.0,64.72,63.2,67.5,6.580002,11.3175125,10.0,4,1.2524451440429685,True,REGULAR,USD,call,2026-05-20,QQQ,65.35,mid,65.35,0.0657995409334353
QQQ260520C00649000,2026-05-20 19:47:50+00:00,649.0,63.47,61.17,65.5,10.830002,20.573713,77.0,11,1.2211953002929685,True,REGULAR,USD,call,2026-05-20,QQQ,63.335,mid,63.335,0.06836662193100179
QQQ260520C00650000,2026-05-20 19:53:48+00:00,650.0,62.56,60.16,64.5,10.810001,20.888891,91.0,42,1.2055703784179688,True,REGULAR,USD,call,2026-05-20,QQQ,62.33,mid,62.33,0.06962939194609342
QQQ260520C00651000,2026-05-20 18:38:12+00:00,651.0,60.61,59.2,63.5,6.9400024,12.930879,24.0,3,1.1899454565429686,True,REGULAR,USD,call,2026-05-20,QQQ,61.35,mid,61.35,0.07008964955175219
QQQ260520C00652000,2026-05-20 19:33:44+00:00,652.0,59.66,58.17,62.5,12.240002,25.811897,31.0,3,1.1743205346679688,True,REGULAR,USD,call,2026-05-20,QQQ,60.335,mid,60.335,0.07176597331565424
QQQ260520C00653000,2026-05-20 19:33:44+00:00,653.0,58.67,57.2,61.5,8.449997,16.82596,28.0,9,1.1586956127929686,True,REGULAR,USD,call,2026-05-20,QQQ,59.35,mid,59.35,0.07245155855096878
QQQ260520C00654000,2026-05-20 15:41:51+00:00,654.0,57.1,56.2,60.5,10.529999,22.61112,16.0,20,1.1430706909179689,True,REGULAR,USD,call,2026-05-20,QQQ,58.35,mid,58.35,0.07369323050556979
QQQ260520C00655000,2026-05-20 15:43:09+00:00,655.0,56.26,55.16,59.5,4.579998,8.862226,59.0,22,1.1274457690429687,True,REGULAR,USD,call,2026-05-20,QQQ,57.33,mid,57.33,0.07570207570207577
QQQ260520C00657000,2026-05-20 19:34:01+00:00,657.0,54.93,53.2,57.5,6.720001,13.939019,55.0,13,1.0961959252929687,True,REGULAR,USD,call,2026-05-20,QQQ,55.35,mid,55.35,0.07768744354110202
QQQ260520C00658000,2026-05-20 19:33:54+00:00,658.0,53.79,52.2,56.5,7.799999,16.960207,50.0,1,1.080571003417969,True,REGULAR,USD,call,2026-05-20,QQQ,54.35,mid,54.35,0.07911683532658688
QQQ260520C00660000,2026-05-20 19:49:38+00:00,660.0,52.17,50.17,54.5,15.599998,42.657913,85.0,22,1.049321159667969,True,REGULAR,USD,call,2026-05-20,QQQ,52.335,mid,52.335,0.08273621859176455
QQQ260520C00662000,2026-05-20 17:19:35+00:00,662.0,48.29,48.2,52.5,7.209999,17.551117,39.0,2,1.017583037109375,True,REGULAR,USD,call,2026-05-20,QQQ,50.35,mid,50.35,0.08540218470705059
QQQ260520C00664000,2026-05-20 19:49:42+00:00,664.0,48.24,46.2,50.5,11.130001,29.991919,118.0,67,0.9860841235351563,True,REGULAR,USD,call,2026-05-20,QQQ,48.35,mid,48.35,0.08893485005170625
QQQ260520C00665000,2026-05-20 19:53:43+00:00,665.0,47.59,45.16,49.5,9.93,26.367498,78.0,27,0.9702151416015624,True,REGULAR,USD,call,2026-05-20,QQQ,47.33,mid,47.33,0.0916965983519967
QQQ260520C00666000,2026-05-20 17:07:45+00:00,666.0,43.81,44.2,48.5,4.6900024,11.988759,97.0,1,0.9543461596679688,True,REGULAR,USD,call,2026-05-20,QQQ,46.35,mid,46.35,0.09277238403451989
QQQ260520C00669000,2026-05-20 19:38:25+00:00,669.0,42.95,41.29,45.5,8.25,23.775215,38.0,4,0.9067392138671875,True,REGULAR,USD,call,2026-05-20,QQQ,43.394999999999996,mid,43.394999999999996,0.09701578522871301
